year,demography_sex_ratio_birth_world
1950,105.4
1951,105.4
1952,105.4
1953,105.4
1954,105.4
1955,105.4
1956,105.4
1957,105.4
1958,105.3
1959,105.3
1960,105.3
1961,105.3
1962,105.4
1963,105.4
1964,105.4
1965,105.4
1966,105.4
1967,105.4
1968,105.4
1969,105.5
1970,105.5
1971,105.5
1972,105.5
1973,105.5
1974,105.5
1975,105.6
1976,105.6
1977,105.6
1978,105.6
1979,105.7
1980,105.7
1981,105.8
1982,105.8
1983,105.8
1984,105.9
1985,106
1986,106.1
1987,106.3
1988,106.5
1989,106.6
1990,106.8
1991,106.8
1992,106.9
1993,107.1
1994,107.2
1995,107.3
1996,107.3
1997,107.4
1998,107.4
1999,107.4
2000,107.5
2001,107.4
2002,107.3
2003,107.3
2004,107.4
2005,107.3
2006,107.3
2007,107.3
2008,107.3
2009,107.3
2010,107.2
2011,107.1
2012,107.1
2013,106.9
2014,106.9
2015,106.7
2016,106.7
2017,106.5
2018,106.4
2019,106.3
2020,105.8
2021,105.7
2022,105.6
2023,105.5
2024,105.4
