year,economy_societal_poverty_afe
1981,62.019999999999996
1982,62.23
1983,62.73
1984,63.53
1985,64.09
1986,63.61
1987,63.160000000000004
1988,63.23
1989,63.14999999999999
1990,63.77
1991,65.02
1992,66.03999999999999
1993,66.47999999999999
1994,66.64999999999999
1995,66.25999999999999
1996,65.63
1997,65.69
1998,66.14999999999999
1999,65.88000000000001
2000,65.09
2001,64.1
2002,64.81
2003,63.800000000000004
2004,60.33
2005,58.620000000000005
2006,57.720000000000006
2007,56.63
2008,55.88999999999999
2009,55.83
2010,54.7
2011,54.059999999999995
2012,53.269999999999996
2013,52.68000000000001
2014,52.52
2015,52.629999999999995
2016,53.22
2017,53.55
2018,53.71
2019,53.94
2020,55.22
2021,55.14
2022,54.72
2023,54.35
2024,54.08
2025,53.400000000000006
2026,52.7
