year,economy_societal_poverty_afw
1981,56.14
1982,57.47
1983,60.22
1984,60.870000000000005
1985,59.919999999999995
1986,60.58
1987,61.24000000000001
1988,61.050000000000004
1989,61.809999999999995
1990,61.88
1991,63.05
1992,63.92
1993,64.31
1994,64.7
1995,65.03999999999999
1996,64.53999999999999
1997,63.63999999999999
1998,62.78
1999,62.43
2000,61.88
2001,60.46
2002,58.209999999999994
2003,57.04
2004,54.93
2005,53.910000000000004
2006,52.89
2007,51.94
2008,50.24999999999999
2009,49.63
2010,47.88
2011,46.93
2012,45.800000000000004
2013,44.96
2014,43.88
2015,43.919999999999995
2016,42.66
2017,41.46
2018,40.22
2019,39.5
2020,40.699999999999996
2021,40.760000000000005
2022,40.39
2023,40.35
2024,39.77
2025,39.4
2026,38.87
