year,economy_societal_poverty_eas
1981,79.93
1982,79.14
1983,77.99000000000001
1984,75.88000000000001
1985,73.83
1986,72.1
1987,69.57
1988,65.86
1989,70.57
1990,69.76
1991,68.75
1992,67.22
1993,65.68
1994,62.07
1995,58.599999999999994
1996,55.02
1997,54.33
1998,54.61
1999,52.04
2000,49.54
2001,47.06
2002,43.08
2003,39.81
2004,38.269999999999996
2005,36.230000000000004
2006,36.17
2007,34.760000000000005
2008,34.1
2009,33.14
2010,32.23
2011,30.630000000000003
2012,29.67
2013,27.12
2014,26.22
2015,25.169999999999998
2016,24.62
2017,24.14
2018,23.400000000000002
2019,22.46
2020,21.759999999999998
2021,20.549999999999997
2022,20.59
2023,20.119999999999997
2024,19.830000000000002
2025,19.48
2026,19.25
