year,economy_societal_poverty_ecs
1981,18.5
1982,18.509999999999998
1983,18.490000000000002
1984,18.56
1985,18.52
1986,18.75
1987,18.77
1988,18.740000000000002
1989,18.63
1990,18.98
1991,19.33
1992,20.330000000000002
1993,21.310000000000002
1994,22.63
1995,22.28
1996,22.41
1997,21.490000000000002
1998,21.45
1999,22.48
2000,22.009999999999998
2001,21.4
2002,20.69
2003,20.46
2004,19.85
2005,19.650000000000002
2006,19.06
2007,18.37
2008,17.89
2009,17.93
2010,17.66
2011,17.53
2012,17.59
2013,15.67
2014,15.870000000000001
2015,15.709999999999999
2016,15.629999999999999
2017,15.39
2018,14.97
2019,15.06
2020,14.760000000000002
2021,14.84
2022,14.6
2023,14.299999999999999
2024,14.19
2025,14.02
2026,13.950000000000001
