year,economy_societal_poverty_lcn
1981,34.46
1982,34.78
1983,35.99
1984,35.75
1985,35.3
1986,33.269999999999996
1987,34.46
1988,34.410000000000004
1989,34.13
1990,34.61
1991,34.18
1992,34.150000000000006
1993,34.65
1994,34.5
1995,34.1
1996,34.839999999999996
1997,34.839999999999996
1998,34.54
1999,34.77
2000,34.2
2001,34.06
2002,33.910000000000004
2003,33.379999999999995
2004,32.74
2005,32.32
2006,31.230000000000004
2007,30.620000000000005
2008,30
2009,29.659999999999997
2010,28.92
2011,28.37
2012,28.4
2013,27.900000000000002
2014,27.500000000000004
2015,27.13
2016,27.339999999999996
2017,27.089999999999996
2018,26.93
2019,27.139999999999997
2020,25.88
2021,26.76
2022,25.82
2023,25.81
2024,25.46
2025,25.34
2026,25.25
