year,economy_societal_poverty_mea
1981,47.870000000000005
1982,47.46
1983,47.08
1984,46.7
1985,46.32
1986,46.06
1987,45.879999999999995
1988,45.56
1989,45.540000000000006
1990,45.11
1991,42.93
1992,39.4
1993,39.519999999999996
1994,36.97
1995,36.5
1996,34.5
1997,34.12
1998,34.57
1999,34.870000000000005
2000,35.370000000000005
2001,36.16
2002,35.82
2003,34.050000000000004
2004,31.47
2005,30.330000000000002
2006,29.42
2007,28.84
2008,27.82
2009,27.700000000000003
2010,26.38
2011,25.840000000000003
2012,25.21
2013,24.779999999999998
2014,24.83
2015,25.019999999999996
2016,25.290000000000003
2017,25.240000000000002
2018,25.180000000000003
2019,25.5
2020,26.22
2021,26.8
2022,26.58
2023,26.790000000000003
2024,27.02
2025,27.189999999999998
2026,27.089999999999996
