year,economy_societal_poverty_nac
1981,17.73
1982,18.69
1983,19.59
1984,19.3
1985,19.39
1986,19.040000000000003
1987,18.990000000000002
1988,18.83
1989,18.78
1990,18.990000000000002
1991,19.61
1992,19.48
1993,19.830000000000002
1994,19.3
1995,18.84
1996,19.15
1997,18.72
1998,18.95
1999,18.77
2000,18.39
2001,18.54
2002,19.040000000000003
2003,18.970000000000002
2004,18.66
2005,18.78
2006,18.88
2007,19.16
2008,19.18
2009,18.57
2010,18.78
2011,18.88
2012,19.3
2013,19.16
2014,18.240000000000002
2015,18.42
2016,18.86
2017,19.29
2018,19.02
2019,19.05
2020,17.4
2021,16.11
2022,18.77
2023,19.09
2024,19.31
2025,19.29
2026,19.27
