year,economy_societal_poverty_sas
1981,55.95
1982,54.300000000000004
1983,50.949999999999996
1984,50.849999999999994
1985,50.73
1986,50.86000000000001
1987,51.4
1988,51.27
1989,50.54
1990,49.82
1991,49.78
1992,49.09
1993,48.29
1994,47.599999999999994
1995,47.27
1996,46.949999999999996
1997,46.92
1998,46.839999999999996
1999,46.47
2000,46.32
2001,46.22
2002,46.239999999999995
2003,45.97
2004,45.519999999999996
2005,44.04
2006,41.53
2007,39.050000000000004
2008,37.92
2009,36.64
2010,34.82
2011,33.69
2012,32.690000000000005
2013,31.6
2014,30.37
2015,29.09
2016,27.700000000000003
2017,26.39
2018,25.180000000000003
2019,24.349999999999998
2020,24.72
2021,23.630000000000003
2022,22.23
2023,20.919999999999998
2024,20.04
2025,19.220000000000002
2026,18.48
