year,economy_societal_poverty_ssf
1981,59.62
1982,60.29
1983,61.71
1984,62.45
1985,62.4
1986,62.39
1987,62.39
1988,62.35000000000001
1989,62.61
1990,63.01
1991,64.23
1992,65.19
1993,65.61
1994,65.86999999999999
1995,65.77
1996,65.2
1997,64.87
1998,64.8
1999,64.49000000000001
2000,63.800000000000004
2001,62.62
2002,62.13999999999999
2003,61.06
2004,58.14
2005,56.71000000000001
2006,55.76
2007,54.72
2008,53.59
2009,53.31
2010,51.92
2011,51.15
2012,50.22
2013,49.53
2014,49
2015,49.08
2016,48.91
2017,48.620000000000005
2018,48.22
2019,48.07
2020,49.33
2021,49.309999999999995
2022,48.92
2023,48.69
2024,48.29
2025,47.74
2026,47.13
