year,economy_societal_poverty_world
1981,53.6
1982,53.21
1983,52.51
1984,51.839999999999996
1985,51.1
1986,50.42
1987,49.81
1988,48.53
1989,50.06
1990,49.82
1991,49.53
1992,48.91
1993,48.54
1994,47.23
1995,45.89
1996,44.56
1997,44.15
1998,44.3
1999,43.57
2000,42.59
2001,41.65
2002,40.23
2003,38.82
2004,37.580000000000005
2005,36.35
2006,35.52
2007,34.300000000000004
2008,33.57
2009,32.96
2010,31.97
2011,31.080000000000002
2012,30.48
2013,29.09
2014,28.49
2015,27.939999999999998
2016,27.58
2017,27.150000000000002
2018,26.590000000000003
2019,26.240000000000002
2020,26.21
2021,25.779999999999998
2022,25.53
2023,25.16
2024,24.89
2025,24.610000000000003
2026,24.34
