year,wellbeing_suicide_rate_wb_eas
2000,12.9239721207177
2001,12.6554011767078
2002,12.6285228594254
2003,12.8812133541944
2004,12.7583310688871
2005,12.2666311200291
2006,11.3914948722547
2007,10.9922858282
2008,10.6429441178392
2009,10.4749388134142
2010,10.100392906534
2011,9.68727168971424
2012,9.13029778647681
2013,8.88497902765146
2014,8.664367010172
2015,8.5296867370952
2016,8.39143541241926
2017,8.32039629180601
2018,8.42457962465567
2019,8.43846374347386
2020,8.44629375639557
2021,8.60606658958021
