year,wellbeing_suicide_rate_wb_ecs
2000,21.5889998217139
2001,20.9381883882297
2002,20.7416788005127
2003,20.2428473040325
2004,19.6646181009427
2005,19.0963385204497
2006,18.0157132846613
2007,17.3461301997647
2008,17.2563985003944
2009,16.9400039974023
2010,16.5172491650703
2011,16.225254361201
2012,16.0183516769609
2013,15.8323420057493
2014,15.5601141692138
2015,14.9304957419725
2016,14.2984821429849
2017,13.7263876297195
2018,13.6394825464458
2019,13.2607326055766
2020,12.5627209885642
2021,12.5413455740299
