year,wellbeing_suicide_rate_wb_lcn
2000,5.45081194998082
2001,5.67841525804601
2002,5.61982589450318
2003,5.59229314407337
2004,5.55959006244397
2005,5.58215111644517
2006,5.53414365828598
2007,5.58707635151708
2008,5.76976885164749
2009,5.80025091856928
2010,5.65289924408734
2011,5.9362573824108
2012,5.94637798161291
2013,5.88449176268896
2014,6.10786851435686
2015,6.28111243278145
2016,6.46564831230856
2017,6.66983271073193
2018,6.63215122557093
2019,6.7181725808829
2020,6.52559177815593
2021,6.88229896897105
