year,wellbeing_suicide_rate_wb_mea
2000,4.67788823192772
2001,4.61522518137481
2002,4.59589200564663
2003,4.43127257400506
2004,4.45658577346513
2005,4.42705291339932
2006,4.32502271686102
2007,4.31800140751124
2008,4.2888934381746
2009,4.22534062887884
2010,4.06593228275776
2011,4.00373373058518
2012,3.97330481617834
2013,3.7635745599741
2014,3.93696528874606
2015,3.89777372897844
2016,3.88562799348154
2017,3.85102574212199
2018,3.78671165387617
2019,3.7124199582202
2020,3.27527909820344
2021,3.42664885159732
