year,wellbeing_suicide_rate_wb_sas
2000,14.9517548439758
2001,14.1425235347476
2002,14.1045095703832
2003,13.9642301057987
2004,14.2073033366514
2005,14.4676722577069
2006,14.6165156408933
2007,14.5667806935929
2008,14.4863542680564
2009,14.3596246769436
2010,14.519217063274
2011,14.4552406219083
2012,14.4500989282774
2013,14.2638152063942
2014,13.7706684001895
2015,13.3432388350803
2016,13.3383587484482
2017,13.5749164926873
2018,13.0944223296919
2019,12.8185672094532
2020,11.8913671402274
2021,11.5388461842082
