year,wellbeing_suicide_rate_wb_ssf
2000,6.95037882475238
2001,6.90687331707964
2002,6.93132774042158
2003,6.95922229281484
2004,6.92144115249327
2005,6.78891560385876
2006,6.82309294314618
2007,6.79574683793311
2008,6.83247711241633
2009,6.82177456429657
2010,6.99430543005024
2011,6.88131248910814
2012,6.84669415087761
2013,6.83954525837493
2014,6.86643904008449
2015,6.88839590262567
2016,6.85358967979746
2017,6.80860251852245
2018,6.99223325151329
2019,7.02845736698222
2020,6.95371889681722
2021,7.30444209746288
