year,climate_temperature_anomaly_era5_world
1940,-0.063
1941,-0.015
1942,-0.104
1943,-0.1
1944,0.088
1945,-0.046
1946,-0.044
1947,0
1948,-0.065
1949,-0.027
1950,-0.139
1951,-0.005
1952,-0.028
1953,0.054
1954,-0.143
1955,-0.16
1956,-0.225
1957,0.029
1958,0.095
1959,0.06
1960,0.01
1961,0.089
1962,0.029
1963,0.066
1964,-0.15
1965,-0.082
1966,-0.005
1967,0.01
1968,-0.058
1969,0.078
1970,0.051
1971,-0.103
1972,0.029
1973,0.134
1974,-0.139
1975,-0.116
1976,-0.189
1977,0.102
1978,0.043
1979,0.2
1980,0.325
1981,0.363
1982,0.164
1983,0.358
1984,0.142
1985,0.107
1986,0.194
1987,0.349
1988,0.378
1989,0.263
1990,0.496
1991,0.439
1992,0.203
1993,0.254
1994,0.291
1995,0.466
1996,0.333
1997,0.461
1998,0.648
1999,0.378
2000,0.369
2001,0.536
2002,0.632
2003,0.62
2004,0.551
2005,0.72
2006,0.671
2007,0.664
2008,0.528
2009,0.662
2010,0.757
2011,0.617
2012,0.663
2013,0.694
2014,0.735
2015,0.883
2016,1.061
2017,0.97
2018,0.891
2019,1.027
2020,1.053
2021,0.902
2022,0.929
2023,1.23
2024,1.342
2025,1.218
