year,climate_temperature_anomaly_land_world
1850,-0.774
1851,-0.49
1852,-0.593
1853,-0.583
1854,-0.396
1855,-0.469
1856,-0.552
1857,-0.814
1858,-0.423
1859,-0.246
1860,-0.65
1861,-0.704
1862,-1.04
1863,-0.372
1864,-0.571
1865,-0.382
1866,-0.305
1867,-0.151
1868,-0.433
1869,-0.197
1870,-0.467
1871,-0.566
1872,-0.474
1873,-0.313
1874,-0.186
1875,-0.709
1876,-0.485
1877,-0.085
1878,0.292
1879,-0.417
1880,-0.539
1881,-0.298
1882,-0.459
1883,-0.567
1884,-0.769
1885,-0.621
1886,-0.617
1887,-0.658
1888,-0.439
1889,-0.254
1890,-0.626
1891,-0.568
1892,-0.535
1893,-0.53
1894,-0.402
1895,-0.422
1896,-0.367
1897,-0.292
1898,-0.411
1899,-0.168
1900,-0.058
1901,-0.056
1902,-0.309
1903,-0.386
1904,-0.52
1905,-0.364
1906,-0.214
1907,-0.625
1908,-0.407
1909,-0.416
1910,-0.37
1911,-0.425
1912,-0.433
1913,-0.301
1914,0.01
1915,-0.025
1916,-0.375
1917,-0.593
1918,-0.476
1919,-0.229
1920,-0.263
1921,-0.054
1922,-0.221
1923,-0.206
1924,-0.142
1925,-0.116
1926,0.064
1927,-0.156
1928,-0.05
1929,-0.462
1930,-0.078
1931,0.02
1932,0.005
1933,-0.354
1934,-0.074
1935,-0.194
1936,-0.155
1937,-0.009
1938,0.173
1939,0.081
1940,0.073
1941,0.063
1942,0.032
1943,0.065
1944,0.158
1945,-0.113
1946,-0.013
1947,0.106
1948,0.05
1949,-0.109
1950,-0.314
1951,-0.05
1952,-0.029
1953,0.2
1954,-0.112
1955,-0.046
1956,-0.394
1957,-0.008
1958,0.083
1959,0.083
1960,-0.098
1961,0.117
1962,0.063
1963,0.184
1964,-0.272
1965,-0.14
1966,-0.055
1967,0.045
1968,-0.153
1969,-0.07
1970,0.057
1971,-0.044
1972,-0.153
1973,0.321
1974,-0.172
1975,0.117
1976,-0.267
1977,0.252
1978,0.085
1979,0.097
1980,0.359
1981,0.539
1982,0.037
1983,0.42
1984,0.076
1985,0.052
1986,0.25
1987,0.409
1988,0.602
1989,0.329
1990,0.637
1991,0.601
1992,0.233
1993,0.28
1994,0.454
1995,0.756
1996,0.441
1997,0.592
1998,0.93
1999,0.681
2000,0.596
2001,0.804
2002,0.974
2003,0.921
2004,0.726
2005,1.104
2006,0.931
2007,1.135
2008,0.844
2009,0.934
2010,1.111
2011,0.934
2012,0.893
2013,1.009
2014,0.98
2015,1.241
2016,1.434
2017,1.307
2018,1.145
2019,1.343
2020,1.5
2021,1.242
2022,1.236
2023,1.635
2024,1.83
