year,climate_temperature_anomaly_world
1880,-0.1767
1881,-0.0908
1882,-0.1108
1883,-0.1733
1884,-0.2842
1885,-0.3358
1886,-0.3183
1887,-0.3658
1888,-0.18
1889,-0.1092
1890,-0.355
1891,-0.2225
1892,-0.2742
1893,-0.3142
1894,-0.3067
1895,-0.2308
1896,-0.1175
1897,-0.1133
1898,-0.2767
1899,-0.175
1900,-0.085
1901,-0.1558
1902,-0.2825
1903,-0.37
1904,-0.475
1905,-0.2617
1906,-0.2242
1907,-0.3892
1908,-0.4292
1909,-0.4883
1910,-0.4417
1911,-0.4483
1912,-0.37
1913,-0.3475
1914,-0.1508
1915,-0.14
1916,-0.3608
1917,-0.4617
1918,-0.3
1919,-0.2775
1920,-0.2758
1921,-0.1908
1922,-0.2825
1923,-0.2642
1924,-0.2683
1925,-0.2217
1926,-0.1092
1927,-0.2192
1928,-0.1992
1929,-0.36
1930,-0.1583
1931,-0.0925
1932,-0.1617
1933,-0.2875
1934,-0.1275
1935,-0.2008
1936,-0.1508
1937,-0.0333
1938,-0.0042
1939,-0.0208
1940,0.1208
1941,0.1808
1942,0.0625
1943,0.085
1944,0.2025
1945,0.0925
1946,-0.0758
1947,-0.0283
1948,-0.1075
1949,-0.1108
1950,-0.175
1951,-0.0692
1952,0.01
1953,0.0792
1954,-0.1325
1955,-0.14
1956,-0.1908
1957,0.0475
1958,0.06
1959,0.0308
1960,-0.025
1961,0.0575
1962,0.0308
1963,0.0533
1964,-0.1983
1965,-0.1067
1966,-0.0558
1967,-0.0225
1968,-0.0825
1969,0.0525
1970,0.0275
1971,-0.08
1972,0.0075
1973,0.1608
1974,-0.0708
1975,-0.0133
1976,-0.0975
1977,0.1783
1978,0.0667
1979,0.1658
1980,0.2542
1981,0.3217
1982,0.1383
1983,0.3142
1984,0.155
1985,0.1175
1986,0.18
1987,0.3208
1988,0.3875
1989,0.2717
1990,0.4467
1991,0.4042
1992,0.2217
1993,0.2325
1994,0.3142
1995,0.4442
1996,0.3308
1997,0.4633
1998,0.6075
1999,0.3817
2000,0.3933
2001,0.5308
2002,0.6275
2003,0.6133
2004,0.5308
2005,0.6758
2006,0.6392
2007,0.6625
2008,0.5425
2009,0.6567
2010,0.7233
2011,0.6083
2012,0.645
2013,0.675
2014,0.7483
2015,0.8967
2016,1.0117
2017,0.9142
2018,0.8492
2019,0.9783
2020,1.0083
2021,0.8483
2022,0.8925
2023,1.1708
2024,1.285
2025,1.1925
