year,climate_temperature_country_brazil
1940,-0.7659704
1941,-0.40844473
1942,-0.72068024
1943,-1.4588995
1944,-0.6962144
1945,-0.8518794
1946,-0.69657785
1947,-1.0349456
1948,-0.62257165
1949,-0.79489726
1950,-0.7074445
1951,-0.61495906
1952,-0.70382005
1953,-0.5574295
1954,-0.6484019
1955,-0.7345104
1956,-1.2716136
1957,-0.43622318
1958,0.0121234255
1959,-0.40773836
1960,-0.7102974
1961,-0.03741582
1962,-0.7621195
1963,-0.111045994
1964,-0.99552727
1965,-0.81439084
1966,-0.80847424
1967,-0.75358886
1968,-1.102881
1969,-0.22681427
1970,-0.5347889
1971,-1.0455847
1972,-0.5462859
1973,-0.47913742
1974,-1.1625429
1975,-1.0067921
1976,-0.96757156
1977,-0.64642733
1978,-0.8104377
1979,-0.7646572
1980,-0.5025627
1981,-0.6261185
1982,-0.50468254
1983,-0.21859694
1984,-0.6137166
1985,-0.84425116
1986,-0.6616424
1987,-0.053441525
1988,-0.43796524
1989,-0.76339245
1990,-0.35070658
1991,-0.44547096
1992,-0.49471378
1993,-0.32156435
1994,-0.30239883
1995,-0.21778409
1996,-0.4480176
1997,-0.13212554
1998,0.35807672
1999,-0.4174614
2000,-0.5304143
2001,-0.20988162
2002,0.19222672
2003,-0.023602009
2004,-0.14990854
2005,0.17279847
2006,-0.058517296
2007,0.13671398
2008,-0.21152814
2009,0.012613614
2010,0.33499083
2011,-0.10581461
2012,0.17242353
2013,0.0619119
2014,0.17337434
2015,0.6851983
2016,0.56573486
2017,0.38290548
2018,0.09411144
2019,0.53118914
2020,0.19494851
2021,-0.02361679
2022,-0.20472479
2023,0.5437419
2024,0.7912448
2025,0.16179276
