year,climate_temperature_country_canada
1940,-0.282655
1941,-0.92287093
1942,-0.5818985
1943,-0.47879913
1944,0.13218224
1945,-1.3398744
1946,-1.1557482
1947,-0.6511635
1948,-1.3470759
1949,-1.3822042
1950,-2.2756603
1951,-1.7244482
1952,-0.30717662
1953,-0.30393705
1954,-0.995411
1955,-1.1592017
1956,-1.9168612
1957,-1.1680956
1958,-0.5431182
1959,-1.4836184
1960,-0.6484918
1961,-1.2465899
1962,-1.1266185
1963,-0.8798813
1964,-1.6160208
1965,-1.7572403
1966,-1.3711678
1967,-1.6668688
1968,-0.91712046
1969,-0.625707
1970,-1.2715849
1971,-1.0783247
1972,-3.0669925
1973,-0.31060594
1974,-1.885511
1975,-1.2061788
1976,-1.0753748
1977,-0.14427567
1978,-1.6188647
1979,-1.241944
1980,-0.6425113
1981,0.95782334
1982,-2.0382135
1983,-0.91912276
1984,-0.76375055
1985,-1.0836323
1986,-1.0794123
1987,0.46924052
1988,-0.37582007
1989,-1.239939
1990,-1.2687925
1991,-0.61169606
1992,-1.211659
1993,-0.66951156
1994,-0.58403206
1995,-0.4881201
1996,-1.1263247
1997,-0.4706738
1998,1.1859754
1999,0.47182083
2000,-0.34686947
2001,0.6702458
2002,-0.5711768
2003,-0.017879486
2004,-1.0646507
2005,0.5351941
2006,1.4278146
2007,-0.24715512
2008,-0.4477346
2009,-0.27171347
2010,2.0105917
2011,0.30612025
2012,0.76278037
2013,-0.27704954
2014,-0.41019437
2015,0.18931626
2016,1.0524259
2017,0.4862113
2018,-0.5078126
2019,0.0808839
2020,0.14486949
2021,0.9466178
2022,0.12674737
2023,1.8944861
2024,1.9548453
2025,1.1515204
