year,climate_temperature_country_greenland
1940,-0.65561074
1941,0.3863308
1942,-0.84100693
1943,-3.2028754
1944,-1.6645226
1945,-1.0373086
1946,-0.3440257
1947,-0.5614403
1948,-2.5461109
1949,-2.6615274
1950,-1.0532874
1951,-1.8771747
1952,-0.30019233
1953,-1.3745428
1954,-0.50139916
1955,-0.85091954
1956,-1.2256728
1957,-1.211863
1958,-0.85296077
1959,-1.0335418
1960,0.09265689
1961,-1.3791844
1962,-1.1272743
1963,-0.7365497
1964,-0.99476004
1965,-0.26137808
1966,-2.0490894
1967,-0.89356166
1968,-0.13994223
1969,-0.39271963
1970,-0.40379748
1971,-2.0034668
1972,-0.70469683
1973,-1.2725863
1974,-0.9016903
1975,-1.5437794
1976,-0.1166141
1977,-0.41577092
1978,-0.786334
1979,-1.0606478
1980,-0.02170662
1981,-1.2611712
1982,-1.4923638
1983,-2.375797
1984,-1.411472
1985,-0.1866123
1986,-0.60405374
1987,-0.14031112
1988,-0.35945657
1989,-1.5790715
1990,-0.96862406
1991,-0.8561406
1992,-2.1196673
1993,-1.6040779
1994,-1.0909475
1995,-0.3574092
1996,0.5688325
1997,-0.2408998
1998,0.24440879
1999,-0.764193
2000,-0.15595575
2001,0.05016653
2002,0.31925318
2003,0.9172304
2004,0.07230195
2005,1.0963141
2006,0.068560325
2007,-0.1107442
2008,-0.052538317
2009,-0.63877964
2010,2.4297276
2011,-0.7860984
2012,0.9213763
2013,-0.37727156
2014,0.26615632
2015,-1.2501503
2016,1.7771392
2017,0.4832051
2018,-0.03509013
2019,1.270314
2020,-0.045027852
2021,1.4116307
2022,1.1144315
2023,0.68144006
2024,0.43005595
2025,1.7082071
