year,climate_temperature_country_indonesia
1940,-1.0683227
1941,-1.1491205
1942,-1.4820155
1943,-1.4698969
1944,-1.3327273
1945,-1.4393998
1946,-1.1772342
1947,-1.1922482
1948,-1.1053214
1949,-0.9190831
1950,-1.1630138
1951,-0.9884677
1952,-0.9049633
1953,-0.9077118
1954,-1.2500559
1955,-1.2307696
1956,-1.2942567
1957,-0.9378476
1958,-0.62141895
1959,-0.95007735
1960,-0.9067133
1961,-0.8962693
1962,-0.921199
1963,-0.8417042
1964,-0.97844476
1965,-1.0524122
1966,-1.2055875
1967,-1.2254201
1968,-1.1168265
1969,-0.8188965
1970,-0.88304806
1971,-1.22413
1972,-0.8346696
1973,-0.66678506
1974,-0.98853683
1975,-0.96899337
1976,-0.9251792
1977,-0.73269385
1978,-0.6095147
1979,-0.51941174
1980,-0.4454657
1981,-0.51203775
1982,-0.521764
1983,-0.24089687
1984,-0.75588435
1985,-0.67834026
1986,-0.59067917
1987,-0.2740189
1988,-0.31101656
1989,-0.6001989
1990,-0.42383528
1991,-0.51115084
1992,-0.5451239
1993,-0.40544415
1994,-0.4002153
1995,-0.29375315
1996,-0.28495708
1997,-0.095236935
1998,0.3237481
1999,-0.32878765
2000,-0.294511
2001,-0.19341993
2002,-0.03886366
2003,-0.07384237
2004,-0.07602581
2005,-0.0013602575
2006,-0.026685556
2007,-0.0217522
2008,-0.19720316
2009,0.17204936
2010,0.29867664
2011,-0.022669792
2012,0.04834636
2013,0.16649373
2014,0.22368033
2015,0.33206907
2016,0.6446726
2017,0.30865145
2018,0.31211773
2019,0.44233274
2020,0.53817177
2021,0.35387278
2022,0.2989416
2023,0.6075775
2024,0.8796344
2025,0.37092128
