year,climate_temperature_country_russia
1940,-1.521835
1941,-2.38184
1942,-1.4464126
1943,-0.0748944
1944,-0.3336958
1945,-1.4050356
1946,-1.9517599
1947,-1.2149825
1948,-0.46246397
1949,-0.8127826
1950,-1.4865938
1951,-0.95091105
1952,-2.1131206
1953,-0.6681374
1954,-1.2970823
1955,-1.5579494
1956,-1.6898994
1957,-1.2119397
1958,-2.0816321
1959,-0.7757778
1960,-1.8722701
1961,-0.9504908
1962,-0.43265298
1963,-1.0169289
1964,-1.7045546
1965,-1.8500401
1966,-2.2934473
1967,-0.38422605
1968,-1.6336851
1969,-2.7598603
1970,-1.5251274
1971,-0.9865322
1972,-1.6747004
1973,-0.8166166
1974,-1.7127606
1975,-0.13611718
1976,-1.9636627
1977,-1.6039416
1978,-1.3555139
1979,-1.8789339
1980,-1.385447
1981,-0.16101415
1982,-1.1071604
1983,0.061535556
1984,-1.2860936
1985,-1.5299698
1986,-0.90086174
1987,-2.313997
1988,-0.31574604
1989,-0.083862506
1990,-0.05226451
1991,-0.2661389
1992,-0.9333341
1993,-0.68005353
1994,-0.9233834
1995,0.8131082
1996,-0.910379
1997,-0.44129196
1998,-1.3768448
1999,-0.8876036
2000,-0.66286576
2001,-0.58250505
2002,-0.19773835
2003,0.13117748
2004,-0.47732756
2005,0.5143623
2006,-0.70520926
2007,1.0426636
2008,0.70492506
2009,-0.63617706
2010,-0.56716305
2011,0.58655137
2012,0.09070984
2013,0.24733011
2014,0.065964065
2015,0.8883582
2016,0.709276
2017,0.90820354
2018,0.34832743
2019,0.9494689
2020,2.2475843
2021,0.061609555
2022,0.9871259
2023,0.9382239
2024,1.2474487
2025,1.1770428
