year,climate_temperature_country_world
1940,-0.68613535
1941,-0.64177424
1942,-0.7324303
1943,-0.72637874
1944,-0.53499657
1945,-0.6747043
1946,-0.67162794
1947,-0.6271296
1948,-0.6879212
1949,-0.6554753
1950,-0.767001
1951,-0.6346042
1952,-0.6503872
1953,-0.57327676
1954,-0.77016145
1955,-0.7880408
1956,-0.84749717
1957,-0.5992949
1958,-0.53242356
1959,-0.56754893
1960,-0.6126599
1961,-0.5370269
1962,-0.59758335
1963,-0.56058806
1964,-0.7725366
1965,-0.7106111
1966,-0.6324356
1967,-0.6193543
1968,-0.6816419
1969,-0.55038095
1970,-0.5755711
1971,-0.7304492
1972,-0.59511226
1973,-0.49171114
1974,-0.7676707
1975,-0.7427275
1976,-0.8114581
1977,-0.52555984
1978,-0.5844932
1979,-0.42901555
1980,-0.2977848
1981,-0.2643908
1982,-0.46367812
1983,-0.2688137
1984,-0.48144278
1985,-0.52181727
1986,-0.43305197
1987,-0.2776557
1988,-0.24551122
1989,-0.36384955
1990,-0.13243413
1991,-0.18719618
1992,-0.4192706
1993,-0.3734623
1994,-0.33713952
1995,-0.15936883
1996,-0.28933215
1997,-0.16711688
1998,0.021511635
1999,-0.24735546
2000,-0.25242472
2001,-0.09241573
2002,0.004265785
2003,-0.008698543
2004,-0.0700523
2005,0.09218478
2006,0.044091385
2007,0.036683958
2008,-0.0957888
2009,0.034867287
2010,0.13054967
2011,-0.011309306
2012,0.03982814
2013,0.06704966
2014,0.10620841
2015,0.25557676
2016,0.43919453
2017,0.3436409
2018,0.2638851
2019,0.399228
2020,0.4321631
2021,0.27369085
2022,0.3008647
2023,0.60073286
2024,0.71951944
2025,0.5916424
