year,violence_terrorism_deaths_world
1970,174
1971,173
1972,484
1973,370
1974,539
1975,617
1976,672
1977,456
1978,1380
1979,1977
1980,4336
1981,4845
1982,5110
1983,9435
1984,10443
1985,7094
1986,4972
1987,6479
1988,7167
1989,8073
1990,6962
1991,8401
1992,9632
1994,7542
1995,6015
1996,6723
1997,10882
1998,4674
1999,3286
2000,4370
2001,7591
2002,4596
2003,3240
2004,5683
2005,6319
2006,9295
2007,12706
2008,9222
2009,9270
2010,7829
2011,8231
2012,15481
2013,22265
2014,44581
2015,38876
2016,35118
2017,26847
2018,23247
2019,20385
2020,22832
2021,11528
