year,education_tertiary_enrollment_ecs
1999,43.6435012817383
2000,45.8308486938477
2001,48.1379318237305
2002,50.6971092224121
2003,53.2160682678223
2004,54.428840637207
2005,56.0824089050293
2006,57.5957984924316
2007,58.696159362793
2008,59.4951515197754
2009,60.6389389038086
2010,62.1960716247559
2011,63.1500511169434
2012,63.842960357666
2013,64.9021987915039
2014,66.4192199707031
2015,67.4049606323242
2016,68.9127578735352
2017,70.533203125
2018,72.0409393310547
2019,73.6700897216797
2020,75.6536102294922
2021,79.1505813598633
2022,81.0477066040039
2023,81.5205917358398
2024,84.8905563354492
