year,education_tertiary_enrollment_lcn
1999,22.5913906097412
2000,23.8176708221436
2001,25.2762908935547
2002,27.1014404296875
2003,28.6692295074463
2004,30.1274299621582
2005,31.8272495269775
2006,38.6138916015625
2007,36.3547286987305
2008,39.265079498291
2009,40.250301361084
2010,41.7594985961914
2011,43.2492713928223
2012,44.429859161377
2013,45.4711112976074
2014,47.1078109741211
2015,48.3956489562988
2016,50.3843383789062
2017,51.7569198608398
2018,52.4460487365723
2019,53.3577194213867
2020,54.8686599731445
2021,56.7638816833496
2022,58.2350807189941
2023,60.6225090026855
2024,58.9027099609375
