year,progress_tertiary_world
1970,17.44212
1971,8.73333
1972,10.65344
1973,9.73467
1974,11.34694
1975,11.53445
1976,10.71464
1977,10.92677
1978,11.18178
1979,11.44274
1980,11.86218
1981,12.22317
1982,12.35603
1983,12.26929
1984,13.67928
1985,13.61829
1986,12.54831
1987,13.04596
1988,12.97206
1989,13.33862
1990,13.30756
1991,13.543
1992,14.88657
1993,15.30531
1994,15.84011
1995,16.3354
1996,16.39237
1997,17.93284
1998,18.05863
1999,18.784821
2000,19.484261
2001,20.39304
2002,21.642941
2003,22.75049
2004,23.62359
2005,24.329559
2006,25.70159
2007,26.303431
2008,27.350981
2009,28.291071
2010,29.578461
2011,31.14373
2012,32.31139
2013,33.091599
2014,35.564571
2015,36.613098
2016,37.1432
2017,37.499432
2018,37.852531
2019,38.668869
2020,39.707409
2021,41.074249
2022,42.04657
2023,43.197868
2024,43.615139
