year,hunger_undernourishment_share_eas
2001,12.5900326395842
2002,11.9462165174471
2003,11.2418057360714
2004,10.5842748332327
2005,9.86809458287219
2006,9.12829154862377
2007,8.21554700661617
2008,7.3407198518665
2009,6.40518656714832
2010,5.80926719208834
2011,5.44451348712646
2012,5.21257445273978
2013,4.98184859445185
2014,4.85382740029331
2015,4.65458058070434
2016,4.48974199291015
2017,4.31838055221872
2018,4.20099663115723
2019,3.65780065465115
2020,3.62369480459959
2021,3.5824195315154
2022,3.5337209237042
2023,3.45452223147655
