year,hunger_undernourishment_share_ecs
2001,4.98534975457632
2002,4.91056274601099
2003,4.72009229316702
2004,4.43589253364565
2005,4.04922784915089
2006,3.65519248408046
2007,3.34669195490408
2008,3.13080713449573
2009,2.9765999020765
2010,2.89409896037779
2011,2.83622850707881
2012,2.79024281104164
2013,2.76470189672072
2014,2.74172107886812
2015,2.71870958830235
2016,2.69405535931716
2017,2.66691650878801
2018,2.65501330193102
2019,2.68585718802521
2020,2.70753691869496
2021,2.75890566998339
2022,2.77099000341437
2023,2.79192173074674
