year,work_vulnerable_employment_ecs
1991,16.6662441142334
1992,17.0073558728977
1993,17.2097132508025
1994,17.6225811586734
1995,17.7672150362012
1996,17.7670580115654
1997,17.8918021796218
1998,17.8173067021939
1999,17.5303392499911
2000,17.2373549495705
2001,17.2148028267153
2002,16.6837170177534
2003,16.6099951342251
2004,16.1545992752552
2005,15.8210957309502
2006,15.521582888215
2007,15.1609715643942
2008,14.8846358313248
2009,15.0881360702411
2010,15.2048876989131
2011,15.2313098047409
2012,15.1259037976698
2013,15.0741128253414
2014,15.0229126799983
2015,14.7690435035469
2016,14.6451655947708
2017,14.3572403010256
2018,14.1772973710472
2019,14.0213327558915
2020,13.9852088522632
2021,13.6526702232353
2022,13.2568727301779
2023,13.0409914803181
2024,12.9556533641996
