year,rights_women_business_law_world
1970,45.70395
1971,45.92105
1972,46.263157
1973,47.14145
1974,47.611843
1975,48.019737
1976,48.38158
1977,48.74671
1978,49.44079
1979,49.726974
1980,50.013157
1981,50.470394
1982,50.848682
1983,51.25329
1984,51.63487
1985,51.95395
1986,52.276318
1987,52.50329
1988,53.082237
1989,53.394737
1990,54.019737
1991,54.42763
1992,54.976974
1993,55.55592
1994,56.31908
1995,57.05592
1996,57.838818
1997,58.648026
1998,59.207237
1999,59.92763
2000,60.648026
2001,61.10855
2002,61.960526
2003,62.901318
2004,63.976974
2005,65.01316
2006,65.927635
2007,66.93092
2008,67.87171
2009,68.87829
2010,69.54276
2011,70.06579
2012,70.6546
2013,71.45066
2014,71.92434
2015,72.460526
2016,73.08224
2017,73.697365
2018,74.40131
2019,75.289474
2020,75.99342
2021,76.60855
2022,77.11842
2023,77.85526
