year,progress_women_empowerment_africa
1900,0.07808192
1901,0.07846636
1902,0.08396323
1903,0.08474063
1904,0.08750131
1905,0.08761056
1906,0.08819082
1907,0.08830467
1908,0.0884186
1909,0.088665724
1910,0.08888832
1911,0.09059616
1912,0.092259824
1913,0.09231433
1914,0.1363949
1915,0.1423473
1916,0.14704786
1917,0.14801982
1918,0.1482769
1919,0.15455586
1920,0.1597967
1921,0.15987132
1922,0.16218947
1923,0.117981136
1924,0.1166407
1925,0.116588935
1926,0.11879087
1927,0.11309647
1928,0.11309616
1929,0.113052025
1930,0.11412393
1931,0.114798404
1932,0.10949796
1933,0.09953294
1934,0.09966863
1935,0.09979889
1936,0.10981386
1937,0.1098167
1938,0.10984107
1939,0.11151281
1940,0.11282768
1941,0.11381209
1942,0.11422755
1943,0.11410579
1944,0.11412696
1945,0.114760585
1946,0.11603648
1947,0.12404399
1948,0.12459298
1949,0.12496958
1950,0.1254875
1951,0.12620673
1952,0.12991358
1953,0.13407584
1954,0.1357979
1955,0.13578312
1956,0.14017534
1957,0.14620024
1958,0.15062374
1959,0.14959988
1960,0.18980804
1961,0.19935067
1962,0.20702541
1963,0.22201955
1964,0.2263314
1965,0.2501386
1966,0.31920144
1967,0.3172189
1968,0.31739804
1969,0.31972203
1970,0.32793877
1971,0.32891458
1972,0.32214087
1973,0.32587638
1974,0.32977533
1975,0.33991948
1976,0.3462886
1977,0.3444403
1978,0.34675407
1979,0.35787892
1980,0.29886755
1981,0.3097491
1982,0.31129092
1983,0.38701683
1984,0.387276
1985,0.39322093
1986,0.3968335
1987,0.4055708
1988,0.40940553
1989,0.4124389
1990,0.43679845
1991,0.4617132
1992,0.4785429
1993,0.48997635
1994,0.5314329
1995,0.54795533
1996,0.5498407
1997,0.5493412
1998,0.5533811
1999,0.5668784
2000,0.5865896
2001,0.59179914
2002,0.60325074
2003,0.60747707
2004,0.61637264
2005,0.62690115
2006,0.6277948
2007,0.6312321
2008,0.63124347
2009,0.6305519
2010,0.6491768
2011,0.64680886
2012,0.65463865
2013,0.6544301
2014,0.65922976
2015,0.6600449
2016,0.666349
2017,0.67652416
2018,0.6791038
2019,0.67208356
2020,0.6698466
2021,0.6732216
2022,0.6809195
2023,0.676665
2024,0.67292833
2025,0.6731102
