year,progress_women_empowerment_asia
1789,0.110957086
1790,0.110923015
1791,0.11088452
1792,0.11084646
1793,0.11080883
1794,0.11077161
1795,0.11073481
1796,0.11069842
1797,0.11066242
1798,0.110626824
1799,0.110591605
1800,0.11187722
1801,0.112081796
1802,0.11408796
1803,0.114085175
1804,0.11408357
1805,0.11408314
1806,0.11408389
1807,0.114085816
1808,0.11408892
1809,0.11409321
1810,0.114072464
1811,0.114051946
1812,0.11402428
1813,0.11418434
1814,0.114150636
1815,0.1141191
1816,0.114089705
1817,0.11406243
1818,0.11496253
1819,0.1148976
1820,0.11486334
1821,0.11481331
1822,0.11470869
1823,0.114676945
1824,0.11464475
1825,0.11461211
1826,0.114535466
1827,0.114501774
1828,0.114467636
1829,0.114442624
1830,0.114373416
1831,0.114500165
1832,0.11450332
1833,0.11451574
1834,0.11452797
1835,0.11454
1836,0.11455184
1837,0.11456348
1838,0.1145749
1839,0.11809832
1840,0.11803986
1841,0.11805819
1842,0.11807754
1843,0.11809791
1844,0.11811776
1845,0.11813707
1846,0.11815584
1847,0.118174054
1848,0.11831466
1849,0.118356794
1850,0.1184617
1851,0.118658006
1852,0.11876951
1853,0.11890615
1854,0.11904329
1855,0.11931544
1856,0.12287046
1857,0.12302867
1858,0.128878
1859,0.12905289
1860,0.1292144
1861,0.12936155
1862,0.12949432
1863,0.12961301
1864,0.1297317
1865,0.12999265
1866,0.13011421
1867,0.13023609
1868,0.1305373
1869,0.13236111
1870,0.1362968
1871,0.13631922
1872,0.13629879
1873,0.13631879
1874,0.14295618
1875,0.1428864
1876,0.1408892
1877,0.15185265
1878,0.1539415
1879,0.15390995
1880,0.153906
1881,0.15391779
1882,0.15401366
1883,0.15415409
1884,0.1542966
1885,0.15443578
1886,0.15419595
1887,0.15424603
1888,0.15441187
1889,0.15452217
1890,0.14729007
1891,0.1472588
1892,0.14716837
1893,0.14677013
1894,0.14715774
1895,0.14694019
1896,0.14695258
1897,0.14749911
1898,0.14742972
1899,0.14729579
1900,0.16232584
1901,0.16253112
1902,0.16250741
1903,0.16255553
1904,0.1626522
1905,0.16315709
1906,0.16363174
1907,0.16384186
1908,0.16435258
1909,0.16537596
1910,0.16653907
1911,0.16616765
1912,0.19168693
1913,0.19896261
1914,0.19890974
1915,0.19859107
1916,0.19848664
1917,0.19893517
1918,0.19922122
1919,0.20628823
1920,0.20642355
1921,0.20757279
1922,0.20810579
1923,0.21042202
1924,0.21123713
1925,0.2114049
1926,0.21148513
1927,0.20945455
1928,0.20949042
1929,0.21166769
1930,0.21583548
1931,0.21570933
1932,0.21571793
1933,0.21636154
1934,0.21352038
1935,0.2142337
1936,0.21458463
1937,0.21478269
1938,0.21921119
1939,0.21921028
1940,0.21955466
1941,0.2147173
1942,0.21538605
1943,0.21515682
1944,0.21276827
1945,0.22454682
1946,0.26105708
1947,0.2661912
1948,0.31328017
1949,0.32090217
1950,0.38599214
1951,0.38659573
1952,0.39392674
1953,0.39735907
1954,0.42743805
1955,0.4287999
1956,0.43219945
1957,0.4248126
1958,0.44017816
1959,0.44149697
1960,0.44409552
1961,0.44580504
1962,0.44560084
1963,0.42555964
1964,0.43565193
1965,0.43713862
1966,0.4374406
1967,0.43665984
1968,0.4358793
1969,0.4544403
1970,0.45592725
1971,0.45673525
1972,0.45934537
1973,0.46238306
1974,0.46746722
1975,0.4705394
1976,0.472359
1977,0.47505313
1978,0.4795633
1979,0.49492913
1980,0.50991666
1981,0.51592183
1982,0.51863444
1983,0.51863164
1984,0.5235357
1985,0.5235277
1986,0.5286955
1987,0.5338337
1988,0.5411888
1989,0.5400172
1990,0.53950584
1991,0.5517046
1992,0.5535853
1993,0.5563265
1994,0.5726121
1995,0.57434297
1996,0.57614124
1997,0.576814
1998,0.5908843
1999,0.5994886
2000,0.61117977
2001,0.61103123
2002,0.6160426
2003,0.62185985
2004,0.6209777
2005,0.63716793
2006,0.6306734
2007,0.63717127
2008,0.63846695
2009,0.64273393
2010,0.64912224
2011,0.64858913
2012,0.65225023
2013,0.6443931
2014,0.63798594
2015,0.63877237
2016,0.64093196
2017,0.63759613
2018,0.6420042
2019,0.6275301
2020,0.6331168
2021,0.62952846
2022,0.61528015
2023,0.60960305
2024,0.6077727
2025,0.6160612
