year,progress_women_empowerment_europe
1900,0.24358356
1901,0.24662855
1902,0.24667104
1903,0.24644105
1904,0.24644874
1905,0.24863227
1906,0.25311768
1907,0.25390238
1908,0.25612542
1909,0.25835875
1910,0.2598852
1911,0.2605685
1912,0.26067343
1913,0.26121536
1914,0.25991845
1915,0.25435403
1916,0.2555201
1917,0.26488674
1918,0.32476038
1919,0.3819639
1920,0.35496902
1921,0.38705903
1922,0.38896748
1923,0.38468271
1924,0.38419202
1925,0.38197932
1926,0.38099542
1927,0.37991768
1928,0.37986305
1929,0.3760597
1930,0.3754216
1931,0.3832274
1932,0.38356227
1933,0.33307672
1934,0.27978915
1935,0.2774221
1936,0.27678278
1937,0.27177235
1938,0.26827303
1944,0.22785634
1946,0.38628668
1947,0.40070367
1948,0.40093192
1949,0.48332566
1950,0.50261146
1951,0.501095
1952,0.50770134
1953,0.5120704
1954,0.53274107
1955,0.5338019
1956,0.5390838
1957,0.5393444
1958,0.54146785
1959,0.5420603
1960,0.5494749
1961,0.55497867
1962,0.55762404
1963,0.56151754
1964,0.5626331
1965,0.57051486
1966,0.57687634
1967,0.57740635
1968,0.578738
1969,0.5864055
1970,0.6061592
1971,0.6119109
1972,0.6122571
1973,0.614354
1974,0.6238428
1975,0.6275274
1976,0.6406921
1977,0.6476761
1978,0.65935224
1979,0.6628147
1980,0.67607796
1981,0.6785897
1982,0.6762917
1983,0.67865354
1984,0.68208337
1985,0.6863343
1986,0.6989111
1987,0.7025197
1988,0.7055671
1989,0.7036595
1990,0.76555187
1991,0.7650654
1992,0.8047272
1993,0.80335045
1994,0.8087818
1995,0.82323706
1996,0.8259089
1997,0.8330341
1998,0.83951706
1999,0.8402953
2000,0.8385741
2001,0.83853304
2002,0.84156173
2003,0.84303606
2004,0.8482008
2005,0.85115385
2006,0.8610438
2007,0.8628347
2008,0.8652843
2009,0.8652874
2010,0.86400366
2011,0.8643762
2012,0.86641973
2013,0.86941797
2014,0.8672835
2015,0.8676676
2016,0.8690073
2017,0.8676078
2018,0.8677429
2019,0.86642605
2020,0.8648901
2021,0.8680095
2022,0.86187476
2023,0.84617585
2024,0.83087283
2025,0.83269477
