year,progress_women_empowerment_south_america
1900,0.24707963
1901,0.24728028
1902,0.2474846
1903,0.24974221
1904,0.25038576
1905,0.2506386
1906,0.25107536
1907,0.25128707
1908,0.25150093
1909,0.25066826
1910,0.25061023
1911,0.2519168
1912,0.25205526
1913,0.25221613
1914,0.25010738
1915,0.24871624
1916,0.25073794
1917,0.25544664
1918,0.25579205
1919,0.25580263
1920,0.25496858
1921,0.25808567
1922,0.25855583
1923,0.26005355
1924,0.2727259
1925,0.2735822
1926,0.2736966
1927,0.2584091
1928,0.25881755
1929,0.25798374
1930,0.26214358
1931,0.25743085
1932,0.31524897
1933,0.32296738
1934,0.32573542
1935,0.32714134
1936,0.33321494
1937,0.3269615
1938,0.3287745
1939,0.3293554
1940,0.33629468
1941,0.33656096
1942,0.33926344
1943,0.33077395
1944,0.33094484
1945,0.34645045
1946,0.37519407
1947,0.3788848
1948,0.37458134
1949,0.37041542
1950,0.38431686
1951,0.39924413
1952,0.40342936
1953,0.40450442
1954,0.4082821
1955,0.3863392
1956,0.38729194
1957,0.39425832
1958,0.4192188
1959,0.44158667
1960,0.4364203
1961,0.4402583
1962,0.43712568
1963,0.4393696
1964,0.42418712
1965,0.42204523
1966,0.41080827
1967,0.40393412
1968,0.40190277
1969,0.39893392
1970,0.4087427
1971,0.41046062
1972,0.40805078
1973,0.41497555
1974,0.4162766
1975,0.4188526
1976,0.39148316
1977,0.39180344
1978,0.3935602
1979,0.4154074
1980,0.43427816
1981,0.4438917
1982,0.4482084
1983,0.47422904
1984,0.49367186
1985,0.53170717
1986,0.577867
1987,0.5823909
1988,0.6341874
1989,0.6516834
1990,0.68160677
1991,0.7124798
1992,0.7099279
1993,0.714181
1994,0.7240869
1995,0.7420972
1996,0.7463968
1997,0.7498898
1998,0.7648143
1999,0.76650536
2000,0.77664536
2001,0.7867126
2002,0.7969263
2003,0.79695123
2004,0.79781735
2005,0.7965586
2006,0.80044365
2007,0.8030073
2008,0.8035518
2009,0.8027128
2010,0.812765
2011,0.8153328
2012,0.8163638
2013,0.80217564
2014,0.8090264
2015,0.8086799
2016,0.7832466
2017,0.78330994
2018,0.78089684
2019,0.7821744
2020,0.7794954
2021,0.777116
2022,0.7884978
2023,0.82400703
2024,0.8202407
2025,0.80840385
