year,progress_women_empowerment_world
1789,0.12191489
1790,0.12176596
1791,0.12448936
1792,0.12448936
1793,0.12448936
1794,0.1251875
1795,0.12202083
1796,0.119444445
1797,0.119444445
1798,0.120545454
1799,0.120953485
1800,0.11768889
1801,0.11771111
1802,0.121106386
1803,0.12857446
1804,0.12910417
1805,0.1290625
1806,0.12654902
1807,0.1277647
1808,0.1262
1809,0.12622
1810,0.13038775
1811,0.12915218
1812,0.12877777
1813,0.13195919
1814,0.1292549
1815,0.12924
1816,0.12938775
1817,0.13298
1818,0.13310204
1819,0.13702127
1820,0.14111364
1821,0.14645454
1822,0.14651163
1823,0.14226191
1824,0.139725
1825,0.13787805
1826,0.14326829
1827,0.1393
1828,0.1393
1829,0.138825
1830,0.14655
1831,0.13928205
1832,0.13825
1833,0.1407317
1834,0.1407317
1835,0.14178048
1836,0.14214633
1837,0.14214633
1838,0.14180952
1839,0.14295122
1840,0.14368293
1841,0.14392683
1842,0.14392683
1843,0.141525
1844,0.145625
1845,0.146575
1846,0.146075
1847,0.14289744
1848,0.13875
1849,0.13375758
1850,0.12951516
1851,0.1422353
1852,0.13351515
1853,0.13271876
1854,0.13271876
1855,0.13334376
1856,0.13321212
1857,0.13781819
1858,0.134125
1859,0.13415626
1860,0.13732257
1861,0.14024138
1862,0.12823077
1863,0.13262963
1864,0.13196297
1865,0.13471429
1866,0.13377778
1867,0.1254
1868,0.123833336
1869,0.12554167
1870,0.12941667
1871,0.13213043
1872,0.13126087
1873,0.13195652
1874,0.13408695
1875,0.13408695
1876,0.13581818
1877,0.13722727
1878,0.14808333
1879,0.13845833
1880,0.13854167
1881,0.13626087
1882,0.13626087
1883,0.13626087
1884,0.13626087
1885,0.13626087
1886,0.13569565
1887,0.13808696
1888,0.13808696
1889,0.13363637
1890,0.134
1891,0.13733333
1892,0.13733333
1893,0.13728571
1894,0.13914286
1895,0.138
1896,0.13790476
1897,0.1335238
1898,0.13828571
1899,0.14119048
1900,0.21936975
1901,0.22046219
1902,0.22187604
1903,0.22376613
1904,0.22357143
1905,0.22420634
1906,0.22671653
1907,0.22821428
1908,0.22875397
1909,0.22928572
1910,0.22877952
1911,0.22634615
1912,0.22638932
1913,0.22716793
1914,0.22806107
1915,0.22716667
1916,0.22735295
1917,0.22918382
1918,0.24091035
1919,0.24908163
1920,0.24816892
1921,0.25502014
1922,0.25163335
1923,0.2507635
1924,0.25438094
1925,0.25491837
1926,0.25623974
1927,0.2565764
1928,0.25670832
1929,0.25678474
1930,0.2588138
1931,0.2601655
1932,0.26284721
1933,0.25997183
1934,0.26412588
1935,0.2644196
1936,0.26447916
1937,0.26397917
1938,0.26457638
1939,0.25986013
1940,0.2530851
1941,0.25121987
1942,0.25095
1943,0.25047144
1944,0.25373572
1945,0.2758156
1946,0.29887414
1947,0.306375
1948,0.30844137
1949,0.31562328
1950,0.3270276
1951,0.3256414
1952,0.3290276
1953,0.33222222
1954,0.33680555
1955,0.3366389
1956,0.34009722
1957,0.3428811
1958,0.34674826
1959,0.35368055
1960,0.37609723
1961,0.3805586
1962,0.38430345
1963,0.39006993
1964,0.3955804
1965,0.40195173
1966,0.41007432
1967,0.40975332
1968,0.41237086
1969,0.4139737
1970,0.42497352
1971,0.42838815
1972,0.43030262
1973,0.4320588
1974,0.44292158
1975,0.45317534
1976,0.46126798
1977,0.4639085
1978,0.46735948
1979,0.4727987
1980,0.4922549
1981,0.4992157
1982,0.50014377
1983,0.5041429
1984,0.50868183
1985,0.5138636
1986,0.521539
1987,0.526474
1988,0.53503895
1989,0.5430065
1990,0.58191717
1991,0.5923787
1992,0.6029763
1993,0.6140877
1994,0.62559646
1995,0.63247955
1996,0.6360058
1997,0.639269
1998,0.64539534
1999,0.6490116
2000,0.6643663
2001,0.6682093
2002,0.67948824
2003,0.67918605
2004,0.6838728
2005,0.6913295
2006,0.6920343
2007,0.6971875
2008,0.69848293
2009,0.69957954
2010,0.70772314
2011,0.7084382
2012,0.7134663
2013,0.7131676
2014,0.71370393
2015,0.71648043
2016,0.7181348
2017,0.71943015
2018,0.7228324
2019,0.7238324
2020,0.72293293
2021,0.71851397
2022,0.7200223
2023,0.7186648
2024,0.7166313
2025,0.7139218
