year,science_works_open_access_world
1900,24828
1901,23715
1902,23981
1903,25003
1904,25491
1905,26827
1906,27207
1907,28408
1908,29984
1909,30581
1910,29236
1911,29987
1912,31375
1913,31285
1914,30289
1915,27769
1916,26986
1917,26102
1918,25122
1919,26660
1920,29744
1921,33016
1922,34736
1923,23290
1924,24253
1925,24854
1926,27013
1927,29158
1928,29314
1929,29636
1930,32105
1931,30360
1932,32455
1933,31151
1934,32860
1935,35389
1936,34076
1937,33502
1938,34237
1939,33629
1940,31304
1941,30131
1942,29939
1943,28215
1944,25045
1945,21772
1946,24887
1947,28640
1948,33500
1949,36897
1950,43109
1951,47668
1952,49077
1953,55793
1954,57095
1955,58922
1956,60603
1957,64424
1958,67447
1959,72983
1960,78096
1961,77831
1962,79817
1963,85453
1964,89213
1965,95393
1966,99618
1967,107138
1968,112488
1969,128841
1970,163080
1971,129564
1972,136355
1973,135272
1974,145291
1975,148415
1976,153671
1977,162326
1978,170837
1979,180983
1980,191641
1981,194942
1982,197504
1983,203951
1984,215115
1985,223361
1986,229734
1987,245803
1988,255517
1989,270899
1990,290540
1991,295181
1992,313720
1993,337010
1994,362250
1995,385359
1996,430862
1997,456531
1998,494188
1999,517111
2000,653841
2001,630464
2002,698999
2003,789401
2004,873027
2005,982843
2006,1094174
2007,1234070
2008,1388938
2009,1618279
2010,1768233
2011,1978014
2012,2224688
2013,2543529
2014,2793811
2015,3213154
2016,3583186
2017,3766927
2018,4182624
2019,4624488
2020,5581116
2021,5930143
2022,6248760
2023,6703876
2024,6496805
