year,science_works_total_world
1900,91928
1901,82226
1902,84629
1903,85238
1904,87534
1905,93353
1906,92138
1907,92961
1908,97350
1909,101507
1910,108186
1911,108540
1912,110047
1913,114005
1914,105060
1915,94147
1916,91695
1917,89601
1918,86776
1919,92884
1920,107581
1921,114315
1922,123124
1923,124933
1924,132762
1925,139550
1926,149238
1927,155440
1928,160245
1929,165669
1930,176795
1931,170256
1932,173410
1933,170157
1934,170980
1935,181323
1936,182850
1937,181944
1938,186922
1939,182912
1940,195167
1941,158400
1942,151054
1943,139311
1944,126550
1945,129200
1946,162571
1947,192167
1948,220320
1949,236663
1950,303455
1951,310398
1952,324149
1953,344743
1954,348941
1955,361085
1956,369194
1957,390753
1958,412749
1959,439560
1960,500123
1961,490321
1962,516871
1963,569134
1964,600983
1965,649595
1966,704080
1967,757073
1968,809456
1969,865117
1970,1012550
1971,940747
1972,979758
1973,1003035
1974,1047601
1975,1099827
1976,1115575
1977,1160163
1978,1211330
1979,1257185
1980,1378370
1981,1366349
1982,1367343
1983,1419455
1984,1473755
1985,1537694
1986,1617092
1987,1703788
1988,1782728
1989,1896343
1990,2066846
1991,2061673
1992,2157752
1993,2253606
1994,2375502
1995,2524259
1996,2737156
1997,2829767
1998,3018815
1999,3132960
2000,3796478
2001,3804861
2002,4416613
2003,4707859
2004,5109857
2005,5451165
2006,5952578
2007,6477450
2008,6930280
2009,7538255
2010,8068232
2011,8660561
2012,8952960
2013,9416871
2014,9956574
2015,10187244
2016,10569454
2017,10428462
2018,10377167
2019,10733098
2020,11427473
2021,10736887
2022,10201805
2023,10790307
2024,10631183
