year,work_youth_unemployment_world
1991,11.5450412997821
1992,11.814285893739
1993,12.4216203088205
1994,12.9746698812924
1995,13.4092112531518
1996,13.5839205984473
1997,13.7210210538363
1998,14.0820168345361
1999,14.3634215143903
2000,14.267700443215
2001,14.482476288233
2002,14.87618085246
2003,14.9950423666113
2004,14.840542669043
2005,14.8820878672376
2006,14.5066496136631
2007,14.1525335814918
2008,14.3385874024957
2009,15.2834887934357
2010,15.2274268208786
2011,15.3131593612541
2012,15.6790637599771
2013,15.688531731258
2014,15.6010875515714
2015,15.9570393625742
2016,16.0420057422403
2017,16.0753513132444
2018,15.8902161012964
2019,15.2535897614854
2020,17.0977967239717
2021,15.6599774357967
2022,14.1324790309189
2023,13.3650029579599
2024,13.2983540637608
