year,education_youth_literacy_eas
1976,84.0999984741211
1977,84.2699966430664
1978,85.4300003051758
1979,86.6100006103516
1980,87.7099990844727
1981,88.6699981689453
1982,89.4300003051758
1983,90.1600036621094
1984,90.8000030517578
1985,91.3000030517578
1986,91.7099990844727
1987,92.7799987792969
1988,93.9700012207031
1989,94.1399993896484
1990,94.2900009155273
1991,94.4599990844727
1992,94.629997253418
1993,94.7600021362305
1994,95.0199966430664
1995,95.2699966430664
1996,95.4800033569336
1997,97.5100021362305
1998,97.5699996948242
1999,97.6399993896484
2000,97.6600036621094
2001,97.7200012207031
2002,97.8099975585938
2003,97.9499969482422
2004,98.0599975585938
2005,98.1500015258789
2006,97.9800033569336
2007,98.3499984741211
2008,98.7099990844727
2009,98.6699981689453
2010,98.4700012207031
2011,98.5299987792969
2012,98.5699996948242
2013,98.6399993896484
2014,98.8600006103516
2015,98.9199981689453
2016,98.9400024414062
2017,98.9499969482422
2018,98.870002746582
2019,98.8899993896484
2020,98.9800033569336
2021,99.0100021362305
2022,99.0500030517578
2023,99.0699996948242
2024,99.0999984741211
