year,education_youth_literacy_ecs
1988,98.8099975585938
1989,98.8399963378906
1990,98.879997253418
1991,98.9199981689453
1992,98.8399963378906
1993,98.870002746582
1994,98.9000015258789
1995,98.9300003051758
1996,98.9599990844727
1997,98.9800033569336
1998,98.9899978637695
1999,98.9800033569336
2000,99.0500030517578
2001,99.0800018310547
2002,99.129997253418
2003,99.1399993896484
2004,99.1399993896484
2005,99.1900024414062
2006,99.2099990844727
2007,99.2300033569336
2008,99.2600021362305
2009,99.4300003051758
2010,99.4800033569336
2011,99.5299987792969
2012,99.5699996948242
2013,99.5999984741211
2014,99.620002746582
2015,99.6399993896484
2016,99.6600036621094
2017,99.6800003051758
2018,99.7300033569336
2019,99.75
2020,99.75
2021,99.7600021362305
2022,99.7699966430664
2023,99.7699966430664
