year,education_youth_literacy_lcn
1974,87.4400024414062
1975,87.4700012207031
1976,87.7799987792969
1977,88.0800018310547
1978,88.379997253418
1979,88.5699996948242
1980,88.6399993896484
1981,88.8399963378906
1982,89.0100021362305
1983,89.1900024414062
1984,89.370002746582
1985,89.5500030517578
1986,89.7099990844727
1987,89.879997253418
1988,90.1699981689453
1989,90.4899978637695
1990,90.7600021362305
1991,91.4100036621094
1992,92.0500030517578
1993,92.6800003051758
1994,93.3000030517578
1995,93.9100036621094
1996,94.2300033569336
1997,94.3600006103516
1998,94.5999984741211
1999,94.8199996948242
2000,95.0199966430664
2001,95.1800003051758
2002,95.5800018310547
2003,96.3300018310547
2004,96.4499969482422
2005,96.6399993896484
2006,96.7399978637695
2007,96.9499969482422
2008,97.1399993896484
2009,97.3499984741211
2010,97.3199996948242
2011,97.75
2012,97.9100036621094
2013,97.879997253418
2014,98.2099990844727
2015,98.2799987792969
2016,98.4000015258789
2017,98.3899993896484
2018,98.4700012207031
2019,98.5100021362305
2020,98.5100021362305
2021,98.5599975585938
2022,98.5999984741211
2023,98.6399993896484
2024,98.6800003051758
