year,education_youth_literacy_mea
1974,54.6699981689453
1975,54.939998626709
1976,55.2000007629395
1977,55.6699981689453
1978,56.2299995422363
1979,56.7900009155273
1980,57.3199996948242
1981,57.7799987792969
1982,58.6300010681152
1983,59.3800010681152
1984,60.310001373291
1985,61.2599983215332
1986,62.189998626709
1987,63.060001373291
1988,63.9700012207031
1989,64.8300018310547
1990,66.4400024414062
1991,67.5400009155273
1992,69.3300018310547
1993,70.3000030517578
1994,71.0500030517578
1995,72.1699981689453
1996,73.0899963378906
1997,73.9100036621094
1998,74.6800003051758
1999,75.4800033569336
2000,76.2200012207031
2001,77.0800018310547
2002,77.8099975585938
2003,79.0899963378906
2004,79.6800003051758
2005,80.1699981689453
2006,80.4000015258789
2007,80.7900009155273
2008,82.1699981689453
2009,82.6100006103516
2010,82.9499969482422
2011,82.7200012207031
2012,83.9199981689453
2013,84.0599975585938
2014,84.5
2015,85.0400009155273
2016,84.6399993896484
2017,84.870002746582
2018,83.370002746582
2019,83.7399978637695
2020,84.379997253418
2021,84.9899978637695
2022,85.6500015258789
2023,86.3000030517578
2024,86.9100036621094
