year,education_youth_literacy_sas
1975,49.5900001525879
1976,49.5699996948242
1977,50.3199996948242
1978,51.0299987792969
1979,51.6800003051758
1980,52.25
1981,52.7299995422363
1982,53.3499984741211
1983,53.9500007629395
1984,54.5299987792969
1985,55.1399993896484
1986,55.7799987792969
1987,56.4300003051758
1988,56.8899993896484
1989,58.2400016784668
1990,59.5
1991,60.6599998474121
1992,61.8800010681152
1993,63.0900001525879
1994,64.3000030517578
1995,65.4700012207031
1996,66.6100006103516
1997,67.629997253418
1998,71.5400009155273
1999,72.8300018310547
2000,74
2001,75.0800018310547
2002,76.2300033569336
2003,77.3300018310547
2004,78.3899993896484
2005,79.4199981689453
2006,79.2699966430664
2007,80.4100036621094
2008,81.4899978637695
2009,82.5400009155273
2010,84.4000015258789
2011,85.3300018310547
2012,85.7900009155273
2013,87.75
2014,88.5
2015,89.5800018310547
2016,90.7300033569336
2017,91.4000015258789
2018,91.9599990844727
2019,95.0800018310547
2020,95.4599990844727
2021,95.9100036621094
2022,96.1399993896484
2023,96.5299987792969
2024,96.879997253418
