year,education_youth_literacy_ssf
1985,62.8699989318848
1986,63.2200012207031
1987,63.9099998474121
1988,64.2600021362305
1989,64.879997253418
1990,65.5100021362305
1991,65.8600006103516
1992,65.879997253418
1993,66.2300033569336
1994,66.5400009155273
1995,66.6699981689453
1996,67.0800018310547
1997,67.6399993896484
1998,67.7099990844727
1999,68.4800033569336
2000,66.8000030517578
2001,67.379997253418
2002,68.6699981689453
2003,68.9000015258789
2004,69.4800033569336
2005,69.0299987792969
2006,68.1500015258789
2007,68.2799987792969
2008,68.5599975585938
2009,68.9300003051758
2010,69.8499984741211
2011,71.8600006103516
2012,73.25
2013,74.2399978637695
2014,74.6100006103516
2015,75.2200012207031
2016,75.7900009155273
2017,76.3399963378906
2018,77.6999969482422
2019,77.9100036621094
2020,78.0400009155273
2021,78.2600021362305
2022,78.5
2023,78.7300033569336
2024,78.9800033569336
