year,education_youth_literacy_wld
1975,75.0599975585938
1976,75.1100006103516
1977,75.3600006103516
1978,75.9899978637695
1979,76.6699981689453
1980,77.25
1981,77.7799987792969
1982,78.3000030517578
1983,78.7600021362305
1984,79.3300018310547
1985,79.8499984741211
1986,80.3399963378906
1987,81.0899963378906
1988,81.7399978637695
1989,82.129997253418
1990,82.5500030517578
1991,82.9199981689453
1992,83.2900009155273
1993,83.6399993896484
1994,83.9700012207031
1995,84.2900009155273
1996,84.5999984741211
1997,85.4899978637695
1998,86.3399963378906
1999,86.6800003051758
2000,86.7200012207031
2001,87
2002,87.4800033569336
2003,87.9400024414062
2004,88.3000030517578
2005,88.5100021362305
2006,88.2900009155273
2007,88.629997253418
2008,89.0500030517578
2009,89.2900009155273
2010,89.6800003051758
2011,90.0699996948242
2012,90.4000015258789
2013,90.879997253418
2014,91.120002746582
2015,91.4000015258789
2016,91.5899963378906
2017,91.7399978637695
2018,91.8300018310547
2019,92.5500030517578
2020,92.6399993896484
2021,92.7600021362305
2022,92.8499984741211
2023,92.9800033569336
2024,93.1100006103516
